muni_PK,codigo_muni,nombre_muni
638,41548,Pital
639,41551,Pitalito
640,41615,Rivera
641,41660,Saladoblanco
642,41668,San Agustín
643,41676,Santa María
644,41770,Suaza
645,41791,Tarqui
646,41797,Tesalia
647,41799,Tello
648,41801,Teruel
649,41807,Timaná
650,41872,Villavieja
651,41885,Yaguará
652,41999,Sin Información
653,44001,Riohacha
654,44035,Albania
655,44078,Barrancas
656,44090,Dibulla
657,44098,Distracción
658,44110,El Molino
659,44279,Fonseca
660,44378,Hatonuevo
661,44420,La Jagua del Pilar
662,44430,Maicao
663,44560,Manaure
664,44650,San Juan del Cesar
665,44847,Uribia
666,44855,Urumita
667,44874,Villanueva
668,44999,Sin Información
669,47001,Santa Marta
670,47030,Algarrobo
671,47053,Aracataca
672,47058,Ariguaní
673,47161,Cerro San Antonio
674,47170,Chibolo
675,47189,Ciénaga
676,47205,Concordia
677,47245,El Banco
678,47258,El Piñón
679,47268,El Retén
680,47288,Fundación
681,47318,Guamal
682,47460,Nueva Granada
683,47541,Pedraza
684,47545,Pijiño del Carmen
685,47551,Pivijay
686,47555,Plato
687,47570,Puebloviejo
688,47605,Remolino
689,47660,Sabanas de San Ángel
690,47675,Salamina
691,47692,San Sebastián de Buenavista
692,47703,San Zenón
693,47707,Santa Ana
694,47720,Santa Bárbara de Pinto
695,47745,Sitionuevo
696,47798,Tenerife
697,47960,Zapayán
698,47980,Zona Bananera
699,47999,Sin Información
700,50001,Villavicencio
701,50006,Acacías
702,50110,Barranca de Upía
703,50124,Cabuyaro
704,50150,Castilla La Nueva
705,50223,Cubarral
706,50226,Cumaral
707,50245,El Calvario
708,50251,El Castillo
709,50270,El Dorado
710,50287,Fuente de Oro
711,50313,Granada
712,50318,Guamal
713,50325,Mapiripán
714,50330,Mesetas
715,50350,La Macarena
716,50370,Uribe
717,50400,Lejanías
718,50450,Puerto Concordia
719,50568,Puerto Gaitán
720,50573,Puerto López
721,50577,Puerto Lleras
722,50590,Puerto Rico
723,50606,Restrepo
724,50680,San Carlos de Guaroa
725,50683,San Juan de Arama
726,50686,San Juanito
727,50689,San Martín
728,50711,Vistahermosa
729,50999,Sin Información
730,52001,Pasto
731,52019,Albán
732,52022,Aldana
733,52036,Ancuyá
734,52051,Arboleda
735,52079,Barbacoas
736,52083,Belén
737,52110,Buesaco
738,52203,Colón
739,52207,Consacá
740,52210,Contadero
741,52215,Córdoba
742,52224,Cuaspud
743,52227,Cumbal
744,52233,Cumbitara
745,52240,Chachagüí
746,52250,El Charco
747,52254,El Peñol
748,52256,El Rosario
749,52258,El Tablón de Gómez
750,52260,El Tambo
751,52287,Funes
752,52317,Guachucal
753,52320,Guaitarilla
754,52323,Gualmatán
755,52352,Iles
756,52354,Imués
757,52356,Ipiales
758,52378,La Cruz
759,52381,La Florida
760,52385,La Llanada
761,52390,La Tola
762,52399,La Unión
763,52405,Leiva
764,52411,Linares
765,52418,Los Andes
766,52427,Magüi
767,52435,Mallama
768,52473,Mosquera
769,52480,Nariño
770,52490,Olaya Herrera
771,52506,Ospina
772,52520,Francisco Pizarro
773,52540,Policarpa
774,52560,Potosí
775,52565,Providencia
776,52573,Puerres
777,52585,Pupiales
778,52612,Ricaurte
779,52621,Roberto Payán
780,52678,Samaniego
781,52683,Sandoná
782,52685,San Bernardo
783,52687,San Lorenzo
784,52693,San Pablo
785,52694,San Pedro de Cartago
786,52696,Santa Bárbara
787,52699,Santacruz
788,52720,Sapuyes
789,52786,Taminango
790,52788,Tangua
791,52835,San Andrés de Tumaco
792,52838,Túquerres
793,52885,Yacuanquer
794,52999,Sin Información
795,54001,Cúcuta
796,54003,Ábrego
797,54051,Arboledas
798,54099,Bochalema
799,54109,Bucarasica
800,54125,Cácota
801,54128,Cachirá
802,54172,Chinácota
803,54174,Chitagá
804,54206,Convención
805,54223,Cucutilla
806,54239,Durania
807,54245,El Carmen
808,54250,El Tarra
809,54261,El Zulia
810,54313,Gramalote
811,54344,Hacarí
812,54347,Herrán
813,54377,Labateca
814,54385,La Esperanza
815,54398,La Playa
816,54405,Los Patios
817,54418,Lourdes
818,54480,Mutiscua
819,54498,Ocaña
820,54518,Pamplona
821,54520,Pamplonita
822,54553,Puerto Santander
823,54599,Ragonvalia
824,54660,Salazar
825,54670,San Calixto
826,54673,San Cayetano
827,54680,Santiago
828,54720,Sardinata
829,54743,Silos
830,54800,Teorama
831,54810,Tibú
832,54820,Toledo
833,54871,Villa Caro
834,54874,Villa del Rosario
835,54999,Sin Información
836,63001,Armenia
837,63111,Buenavista
838,63130,Calarcá
839,63190,Circasia
840,63212,Córdoba
841,63272,Filandia
842,63302,Génova
843,63401,La Tebaida
844,63470,Montenegro
845,63548,Pijao
846,63594,Quimbaya
847,63690,Salento
848,63999,Sin Información
849,66001,Pereira
850,66045,Apía
851,66075,Balboa
852,66088,Belén de Umbría
853,66170,Dosquebradas
854,66318,Guática
855,66383,La Celia
856,66400,La Virginia
857,66440,Marsella
858,66456,Mistrató
859,66572,Pueblo Rico
860,66594,Quinchía
861,66682,Santa Rosa de Cabal
862,66687,Santuario
863,66999,Sin Información
864,68001,Bucaramanga
865,68013,Aguada
866,68020,Albania
867,68051,Aratoca
868,68077,Barbosa
869,68079,Barichara
870,68081,Barrancabermeja
871,68092,Betulia
872,68101,Bolívar
873,68121,Cabrera
874,68132,California
875,68147,Capitanejo
876,68152,Carcasí
877,68160,Cepitá
878,68162,Cerrito
879,68167,Charalá
880,68169,Charta
881,68176,Chima
882,68179,Chipatá
883,68190,Cimitarra
884,68207,Concepción
885,68209,Confines
886,68211,Contratación
887,68217,Coromoro
888,68229,Curití
889,68235,El Carmen de Chucurí
890,68245,El Guacamayo
891,68250,El Peñón
892,68255,El Playón
893,68264,Encino
894,68266,Enciso
895,68271,Florián
896,68276,Floridablanca
897,68296,Galán
898,68298,Gámbita
899,68307,Girón
900,68318,Guaca
901,68320,Guadalupe
902,68322,Guapotá
903,68324,Guavatá
904,68327,Güepsa
905,68344,Hato
906,68368,Jesús María
907,68370,Jordán
908,68377,La Belleza
909,68385,Landázuri
910,68397,La Paz
911,68406,Lebrija
912,68418,Los Santos
913,68425,Macaravita
914,68432,Málaga
915,68444,Matanza
916,68464,Mogotes
917,68468,Molagavita
918,68498,Ocamonte
919,68500,Oiba
920,68502,Onzaga
921,68522,Palmar
922,68524,Palmas del Socorro
923,68533,Páramo
924,68547,Piedecuesta
925,68549,Pinchote
926,68572,Puente Nacional
927,68573,Puerto Parra
928,68575,Puerto Wilches
929,68615,Rionegro
930,68655,Sabana de Torres
931,68669,San Andrés
932,68673,San Benito
933,68679,San Gil
934,68682,San Joaquín
935,68684,San José de Miranda
936,68686,San Miguel
937,68689,San Vicente de Chucurí
938,68705,Santa Bárbara
939,68720,Santa Helena del Opón
940,68745,Simacota
941,68755,Socorro
942,68770,Suaita
943,68773,Sucre
944,68780,Suratá
945,68820,Tona
946,68855,Valle de San José
947,68861,Vélez
948,68867,Vetas
949,68872,Villanueva
950,68895,Zapatoca
951,68999,Sin Información
952,70001,Sincelejo
953,70110,Buenavista
954,70124,Caimito
955,70204,Colosó
956,70215,Corozal
957,70221,Coveñas
958,70230,Chalán
959,70233,El Roble
960,70235,Galeras
961,70265,Guaranda
962,70400,La Unión
963,70418,Los Palmitos
964,70429,Majagual
965,70473,Morroa
966,70508,Ovejas
967,70523,Palmito
968,70670,Sampués
969,70678,San Benito Abad
970,70702,San Juan de Betulia
971,70708,San Marcos
972,70713,San Onofre
973,70717,San Pedro
974,70742,San Luis de Sincé
975,70771,Sucre
976,70820,Santiago de Tolú
977,70823,Tolú Viejo
978,70999,Sin Información
979,73001,Ibagué
980,73024,Alpujarra
981,73026,Alvarado
982,73030,Ambalema
983,73043,Anzoátegui
984,73055,Armero
985,73067,Ataco
986,73124,Cajamarca
987,73148,Carmen de Apicalá
988,73152,Casabianca
989,73168,Chaparral
990,73200,Coello
991,73217,Coyaima
992,73226,Cunday
993,73236,Dolores
994,73268,Espinal
995,73270,Falan
996,73275,Flandes
997,73283,Fresno
998,73319,Guamo
999,73347,Herveo
1000,73349,Honda
1001,73352,Icononzo
1002,73408,Lérida
1003,73411,Líbano
1004,73443,San Sebastián de Mariquita
1005,73449,Melgar
1006,73461,Murillo
1007,73483,Natagaima
1008,73504,Ortega
1009,73520,Palocabildo
1010,73547,Piedras
1011,73555,Planadas
1012,73563,Prado
1013,73585,Purificación
1014,73616,Rioblanco
1015,73622,Roncesvalles
1016,73624,Rovira
1017,73671,Saldaña
1018,73675,San Antonio
1019,73678,San Luis
1020,73686,Santa Isabel
1021,73770,Suárez
1022,73854,Valle de San Juan
1023,73861,Venadillo
1024,73870,Villahermosa
1025,73873,Villarrica
1026,73999,Sin Información
1027,76001,Cali
1028,76020,Alcalá
1029,76036,Andalucía
1030,76041,Ansermanuevo
1031,76054,Argelia
1032,76100,Bolívar
1033,76109,Buenaventura
1034,76111,Guadalajara de Buga
1035,76113,Bugalagrande
1036,76122,Caicedonia
1037,76126,Calima
1038,76130,Candelaria
1039,76147,Cartago
1040,76233,Dagua
1041,76243,El Águila
1042,76246,El Cairo
1043,76248,El Cerrito
1044,76250,El Dovio
1045,76275,Florida
1046,76306,Ginebra
1047,76318,Guacarí
1048,76364,Jamundí
1049,76377,La Cumbre
1050,76400,La Unión
1051,76403,La Victoria
1052,76497,Obando
1053,76520,Palmira
1054,76563,Pradera
1055,76606,Restrepo
1056,76616,Riofrío
1057,76622,Roldanillo
1058,76670,San Pedro
1059,76736,Sevilla
1060,76823,Toro
1061,76828,Trujillo
1062,76834,Tuluá
1063,76845,Ulloa
1064,76863,Versalles
1065,76869,Vijes
1066,76890,Yotoco
1067,76892,Yumbo
1068,76895,Zarzal
1069,76999,Sin Información
1070,81001,Arauca
1071,81065,Arauquita
1072,81220,Cravo Norte
1073,81300,Fortul
1074,81591,Puerto Rondón
1075,81736,Saravena
1076,81794,Tame
1077,81999,Sin Información
1078,85001,Yopal
1079,85010,Aguazul
1080,85015,Chámeza
1081,85125,Hato Corozal
1082,85136,La Salina
1083,85139,Maní
1084,85162,Monterrey
1085,85225,Nunchía
1086,85230,Orocué
1087,85250,Paz de Ariporo
1088,85263,Pore
1089,85279,Recetor
1090,85300,Sabanalarga
1091,85315,Sácama
1092,85325,San Luis de Palenque
1093,85400,Támara
1094,85410,Tauramena
1095,85430,Trinidad
1096,85440,Villanueva
1097,85999,Sin Información
1098,86001,Mocoa
1099,86219,Colón
1100,86320,Orito
1101,86568,Puerto Asís
1102,86569,Puerto Caicedo
1103,86571,Puerto Guzmán
1104,86573,Puerto Leguízamo
1105,86749,Sibundoy
1106,86755,San Francisco
1107,86757,San Miguel
1108,86760,Santiago
1109,86865,Valle del Guamuez
1110,86885,Villagarzón
1111,86999,Sin Información
1112,88001,San Andrés
1113,88564,Providencia
1114,88999,Sin Información
1115,91001,Leticia
1116,91263,El Encanto
1117,91405,La Chorrera
1118,91407,La Pedrera
1119,91460,Mirití - Paraná
1120,91530,Puerto Alegría
1121,91536,Puerto Arica
1122,91540,Puerto Nariño
1123,91669,Puerto Santander
1124,91798,Tarapacá
1125,91999,Sin Información
1126,94001,Inírida
1127,94343,Barranco Minas
1128,94884,Puerto Colombia
1129,94886,Cacahual
1130,94888,Morichal
1131,94999,Sin Información
1132,95001,San José del Guaviare
1133,95015,Calamar
1134,95025,El Retorno
1135,95200,Miraflores
1136,95999,Sin Información
1137,97001,Mitú
1138,97161,Carurú
1139,97511,Pacoa
1140,97666,Taraira
1141,97777,Papunaua
1142,97889,Yavaraté
1143,97999,Sin Información
1144,99001,Puerto Carreño
1145,99524,La Primavera
1146,99624,Santa Rosalía
1147,99773,Cumaribo
1148,99999,Sin Información
1149,75024,Angola
1150,75032,Argentina
1151,75076,Brasil
1152,75218,Ecuador
1153,75232,Eritrea
1154,75239,Georgia del Sur E Islas Sandwich d
1155,75249,Francia Metropolitana
1156,75250,Francia
1157,75275,Territorio Ocupado de Palestina
1158,75276,Alemania
1159,75332,Haití
1160,75340,Honduras
1161,75422,Libano
1162,75484,México
1163,75528,Holanda (Paises Bajos)
1164,75530,Antillas Neerlandesas
1165,75533,Aruba
1166,75580,Islas Marianas del Norte
1167,75591,Panamá
1168,75604,Perú
1169,75608,Filipinas
1170,75643,Federación de Rusia
1171,75724,España
1172,75740,Suriname
1173,75756,Suiza
1174,75780,Trinidad Y Tobago
1175,75804,Ucrania
1176,75840,Estados Unidos de América
1177,75850,Islas Vírgenes de Los Estados Unid
1178,75862,Venezuela
1179,75998,Resto de Paises
1180,75999,Sin Información
1181,91430,La Victoria
1182,94883,San Felipe
1183,75004,República Islámica de Afganistán
1184,75068,Bolivia
1185,75124,Canadá
1186,75156,China
1187,75180,Congo
1188,75192,Cuba
1189,75222,El Salvador
1190,75392,Japón
1191,75558,Nicaragua
1192,75630,Puerto Rico
1193,75818,Egipto
1194,75826,Reino Unido de Gran Bretaña E Irla
1195,75858,Uruguay
1196,94663,Mapiripana
1197,75008,Albania
1198,75040,Austria
1199,75100,Bulgaria
1200,75152,Chile
1201,75174,Union de Las Comoras
1202,75188,Costa Rica
1203,75214,República Dominicana
1204,75380,Italia
1205,75600,Paraguay
1206,94887,Pana Pana
1207,75056,Bélgica
1208,75208,Dinamarca
1209,75328,Guyana
1210,75356,República de La India
1211,75372,Irlanda
1212,75388,Jamaica
1213,75620,Portugal
1214,75662,Santa Lucía
1215,75674,San Marino
1216,75238,Islas Malvinas (Falkland)
1217,75364,República Islámica de Irán
1218,75554,Nueva Zelanda
1219,75052,Barbados
1220,75376,Israel
1221,75384,Costa de Marfil
1222,75428,Letonia
1223,75659,San Kitts Y Nevis
1224,75752,Suecia
1225,75796,Islas Turcas Y Caicos
1226,75028,Antigua Y Barbuda
1227,75036,Australia
1228,75258,Polinesia Francesa
1229,75308,Granada
1230,75348,Hungría
1231,75360,Indonesia
1232,75642,Rumania
1233,75678,República Democrática de Santo Tom
1234,75120,Camerún
1235,75254,Guayana Francesa
